Name,Password,Id,X,Y,Availability
Driver1,pass4088,1,11.35,38.69,0
Driver2,pass8863,2,75.55,92.44,1
Driver3,pass2035,3,82.06,76.86,0
Driver4,pass6611,4,59.64,29.6,0
Driver5,pass1610,5,20.75,28.48,1
Driver6,pass9535,6,67.1,29.87,1
Driver7,pass5862,7,63.71,87.2,0
Driver8,pass3926,8,38.54,43.59,0
Driver9,pass1726,9,4.56,8.72,1
Driver10,pass6162,10,36.59,94.47,1
Driver11,pass2005,11,90.79,61.14,0
Driver12,pass9940,12,0.55,4.86,1
Driver13,pass8706,13,48.16,59.55,1
Driver14,pass6241,14,84.67,12.64,0
Driver15,pass6252,15,89.88,69.07,1
Driver16,pass3648,16,13.89,85.7,1
Driver17,pass5108,17,82.67,97.02,1
Driver18,pass9377,18,6.56,73.99,1
Driver19,pass7753,19,28.15,14.8,0
Driver20,pass5840,20,5.67,25.24,0
Driver21,pass5425,21,6.04,91.43,1
Driver22,pass4780,22,66.5,31.65,1
Driver23,pass4133,23,63.29,7.09,0
Driver24,pass7295,24,76.31,13.98,1
Driver25,pass6559,25,52.02,49.29,1
Driver26,pass4124,26,23.82,86.62,0
Driver27,pass8707,27,67.92,56.2,0
Driver28,pass6545,28,47.24,95.97,0
Driver29,pass8958,29,77.53,65.44,1
Driver30,pass3332,30,61.78,36.98,1
Driver31,pass4410,31,53.77,97.44,1
Driver32,pass8990,32,54.22,53.44,0
Driver33,pass4090,33,61.95,98.69,1
Driver34,pass3440,34,37.61,19.14,0
Driver35,pass9882,35,37.55,27.56,1
Driver36,pass5847,36,47.97,68.99,0
Driver37,pass5526,37,97.1,83.67,0
Driver38,pass8154,38,8.73,36.34,0
Driver39,pass8438,39,70.79,12.57,1
Driver40,pass8403,40,42.68,66.53,0
Driver41,pass6473,41,49.18,22.44,1
Driver42,pass1878,42,62.46,93.31,0
Driver43,pass3964,43,32.5,25.35,0
Driver44,pass8461,44,91.79,24.48,0
Driver45,pass4514,45,5.44,3.74,1
Driver46,pass4055,46,95.89,58.61,1
Driver47,pass1516,47,96.25,46.33,1
Driver48,pass1439,48,47.6,58.15,0
Driver49,pass7093,49,88.91,25.28,1
Driver50,pass4298,50,72.76,42.37,0
Driver51,pass8553,51,55.7,90.43,0
Driver52,pass5118,52,98.02,21.8,1
Driver53,pass2531,53,84.88,46.9,1
Driver54,pass2797,54,78.81,97.55,0
Driver55,pass2537,55,84.05,46.91,1
Driver56,pass6588,56,62.56,59.47,1
Driver57,pass9688,57,61.6,68.1,0
