Name,Password,Id,X,Y
Rider001,24y2ok,1,-158.195,71.9595
Rider002,9zsvop,2,-98.1662,73.0068
Rider003,kx7nx3,3,-25.6967,-27.8181
Rider004,tzqrnk,4,-75.3951,67.0266
Rider005,1jj6ce,5,-98.3698,87.0626
Rider006,xwplso,6,105.411,39.9157
Rider007,d1qt7g,7,96.2263,17.6353
Rider008,kk3lxw,8,165.208,68.0785
Rider009,rk701s,9,-175.443,24.8814
Rider010,3n3711,10,147.699,-76.7651
Rider011,xmj8br,11,-14.1926,-13.645
Rider012,3q55rx,12,-58.7763,-76.7695
Rider013,h3ih02,13,-20.8338,42.6053
Rider014,vf9jl2,14,82.9533,-39.4925
Rider015,unnmnd,15,39.341,-11.2735
Rider016,98kbjy,16,-108.503,7.86209
Rider017,6udnmu,17,-59.8534,-77.3289
Rider018,6ftd8u,18,101.926,-0.0509286
Rider019,mdo61m,19,108.814,56.9753
Rider020,3l4a9q,20,-104.892,83.2868
Rider021,arpqid,21,119.462,-21.8762
Rider022,fffmho,22,-103.045,-31.4487
Rider023,pqcgh8,23,178.036,83.2056
Rider024,ekl8lu,24,-68.3701,76.2502
Rider025,jzuvvt,25,-76.7772,43.8927
Rider026,82xvwy,26,69.9937,25.284
Rider027,s3fu0z,27,22.9839,27.1571
Rider028,atmn9l,28,-73.2539,-74.9122
Rider029,91q8t6,29,-88.9003,-36.2925
Rider030,bmhx0m,30,76.6831,-4.92223
Rider031,y3su1j,31,106.222,-88.0641
Rider032,9slvp2,32,-159.457,26.2823
Rider033,czfx1w,33,-71.6668,-75.8923
Rider034,dj1yw5,34,-72.7719,-0.14053
Rider035,uki8uc,35,-116.21,-19.5913
Rider036,5aw087,36,-111.114,47.2717
Rider037,ud990r,37,-104.923,-45.7804
Rider038,lxnc3r,38,99.8028,-11.3103
Rider039,a8snz8,39,-179.811,47.1506
Rider040,i48w34,40,-164.87,31.5989
Rider041,a1amwx,41,179.44,-4.37376
Rider042,qklfo3,42,144.556,-20.7497
Rider043,0nt0dv,43,-107.494,61.5433
Rider044,d4q9wj,44,66.2232,-22.9734
Rider045,90jl7y,45,-143.957,72.2149
Rider046,69h7qn,46,86.5411,-89.9232
Rider047,5dwvhy,47,162.081,-61.95
Rider048,ty5aq0,48,51.058,48.711
Rider049,v2al0p,49,21.8501,-12.1568
Rider050,gj07yn,50,-149.122,-59.7031
Rider051,pbwry6,51,143.084,-10.7936
Rider052,b7v3q3,52,165.76,-5.02165
Rider053,0ouml9,53,-146.598,-34.3495
Rider054,lp3430,54,13.5086,-36.6456
Rider055,ro3lj1,55,133.914,19.6016
Rider056,goqb34,56,55.022,85.5275
Rider057,xt73eg,57,-56.819,60.018
Rider058,1otil7,58,144.736,-46.4138
Rider059,udoveq,59,31.7477,70.5039
Rider060,ba438h,60,-67.1602,30.4673
Rider061,evqrj5,61,-104.906,83.8725
Rider062,zxspce,62,-14.0406,-14.7652
Rider063,a9mahr,63,110.716,-71.2651
Rider064,fa44bq,64,110.818,-7.28015
Rider065,2u0lp3,65,48.9732,19.2337
Rider066,8qrakh,66,123.981,11.8652
Rider067,h70yqs,67,-59.2112,13.1738
Rider068,eb4o5t,68,80.9234,9.2412
Rider069,0d00ga,69,-88.4727,-24.8975
Rider070,8nt5ke,70,-78.7301,83.6138
Rider071,al0rd1,71,146.703,-60.4343
Rider072,luibfu,72,-121.452,25.5892
Rider073,ck7ej9,73,6.08414,57.1115
Rider074,wwm6qk,74,76.7644,39.107
Rider075,n5vx2i,75,154.909,61.0005
Rider076,qp9dei,76,134.374,13.6787
Rider077,ovvt77,77,-85.1541,-82.2915
Rider078,9l1shr,78,151.156,27.3093
Rider079,olcryh,79,113.279,-44.4755
Rider080,m5d0ba,80,-124.777,88.6578
Rider081,6wd7yy,81,48.1646,46.5789
Rider082,yz75nr,82,74.2529,-29.3247
Rider083,hkih79,83,134.873,15.0577
Rider084,3638q7,84,165.477,-72.0794
Rider085,01adtb,85,117.274,66.7176
Rider086,ocgwvo,86,155.2,-7.76019
Rider087,1iryws,87,29.0547,39.8054
Rider088,nq8awk,88,-166.744,44.2249
Rider089,urisxg,89,-8.37834,-80.5183
Rider090,ewxbiq,90,22.4117,-41.3753
Rider091,y9dto4,91,-3.48076,50.607
Rider092,vb6j8t,92,162.374,15.1275
Rider093,o64zup,93,-130.061,64.1982
Rider094,731lud,94,9.85854,22.4718
Rider095,fqt67r,95,-114.431,-65.4718
Rider096,uidrlq,96,-175.496,-35.4636
Rider097,gp0snn,97,3.07975,-62.0763
Rider098,o6loot,98,56.173,-68.32
Rider099,732i8j,99,-159.07,29.5726
Rider100,xah0df,100,-139.654,22.6996
Rider101,tvqbm6,101,167.612,-68.978
Rider102,ad9xmx,102,110.213,-60.1996
Rider103,edy523,103,24.9819,35.831
Rider104,n6xf7u,104,109.971,76.3812
Rider105,tq6uhx,105,-23.3872,-75.1496
Rider106,ogqxxn,106,113.825,86.0125
